#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
0.309091     0.309091     1            0.777778     2.33586e-08 
0.309091     0.309091     1            0.787879     1.1775e-09  
0.309091     0.309091     1            0.79798      2.28764e-08 
0.309091     0.309091     1            0.808081     2.71439e-19 
0.309091     0.309091     1            0.818182     3.17313e-19 
0.309091     0.309091     1            0.828283     1.18753e-16 
0.309091     0.309091     1            0.838384     3.34192e-20 
0.309091     0.309091     1            0.848485     6.21652e-24 
0.309091     0.309091     1            0.858586     3.25108e-20 
0.309091     0.309091     1            0.868687     3.22959e-26 
0.309091     0.309091     1            0.878788     1.16684e-30 
0.309091     0.309091     1            0.888889     6.50854e-18 
0.309091     0.309091     1            0.89899      2.14802e-30 
0.309091     0.309091     1            0.909091     4.46542e-20 
0.309091     0.309091     1            0.919192     1.2637e-37  
0.309091     0.309091     1            0.929293     9.10648e-37 
0.309091     0.309091     1            0.939394     1.99568e-31 
0.309091     0.309091     1            0.949495     9.22138e-54 
0.309091     0.309091     1            0.959596     5.7959e-51  
0.309091     0.309091     1            0.969697     1.46605e-54 
0.309091     0.309091     1            0.979798     4.68614e-60 
0.309091     0.309091     1            0.989899     1.09718e-59 
0.312121     0.312121     1            0            0.523917    
0.312121     0.312121     1            0.010101     0.513752    
0.312121     0.312121     1            0.020202     0.457661    
0.312121     0.312121     1            0.030303     0.350456    
0.312121     0.312121     1            0.040404     0.28425     
0.312121     0.312121     1            0.0505051    0.18928     
0.312121     0.312121     1            0.0606061    0.12206     
0.312121     0.312121     1            0.0707071    0.06893     
0.312121     0.312121     1            0.0808081    0.0359545   
0.312121     0.312121     1            0.0909091    0.0225032   
0.312121     0.312121     1            0.10101      0.00782918  
0.312121     0.312121     1            0.111111     0.00409624  
0.312121     0.312121     1            0.121212     0.00102549  
0.312121     0.312121     1            0.131313     0.000353746 
0.312121     0.312121     1            0.141414     5.15435e-05 
0.312121     0.312121     1            0.151515     1.50528e-05 
0.312121     0.312121     1            0.161616     1.06714e-05 
0.312121     0.312121     1            0.171717     5.8935e-07  
0.312121     0.312121     1            0.181818     4.14504e-08 
0.312121     0.312121     1            0.191919     2.83896e-09 
0.312121     0.312121     1            0.20202      1.85395e-06 
0.312121     0.312121     1            0.212121     2.05519e-09 
0.312121     0.312121     1            0.222222     3.32536e-07 
0.312121     0.312121     1            0.232323     2.93107e-07 
0.312121     0.312121     1            0.242424     1.32325e-07 
0.312121     0.312121     1            0.252525     1.09216e-06 
0.312121     0.312121     1            0.262626     2.41693e-05 
0.312121     0.312121     1            0.272727     0.000938582 
0.312121     0.312121     1            0.282828     0.000570414 
0.312121     0.312121     1            0.292929     0.00102636  
0.312121     0.312121     1            0.30303      0.00279935  
0.312121     0.312121     1            0.313131     0.00660714  
0.312121     0.312121     1            0.323232     0.0130907   
0.312121     0.312121     1            0.333333     0.021563    
0.312121     0.312121     1            0.343434     0.032671    
0.312121     0.312121     1            0.353535     0.0436707   
0.312121     0.312121     1            0.363636     0.074309    
0.312121     0.312121     1            0.373737     0.102959    
0.312121     0.312121     1            0.383838     0.135318    
0.312121     0.312121     1            0.393939     0.17513     
0.312121     0.312121     1            0.40404      0.196461    
0.312121     0.312121     1            0.414141     0.235632    
0.312121     0.312121     1            0.424242     0.27725     
0.312121     0.312121     1            0.434343     0.279553    
0.312121     0.312121     1            0.444444     0.273417    
0.312121     0.312121     1            0.454545     0.283765    
0.312121     0.312121     1            0.464646     0.269753    
0.312121     0.312121     1            0.474747     0.270438    
0.312121     0.312121     1            0.484848     0.250833    
