T,Cp,Field
K,,T
0.64717,6548.8058,1.1998
0.6628,6403.1268,1.1998
0.67844,6028.0018,1.1998
0.69407,5735.6262,1.1998
0.70971,5497.6503,1.1998
0.72534,5493.6019,1.1998
0.74097,5502.1381,1.1998
0.75661,5551.2044,1.1998
0.77224,5616.9398,1.1998
0.78788,5697.7008,1.1998
0.80351,5774.606,1.1998
0.81914,5844.8864,1.1998
0.83478,5899.4335,1.1998
0.85041,5948.7132,1.1998
0.86605,5974.8306,1.1998
0.88168,6009.6211,1.1998
0.89732,6077.5846,1.1998
0.91295,6201.594,1.1998
0.92858,6389.1426,1.1998
0.94422,6652.3304,1.1998
0.95985,6996.0372,1.1998
0.97549,7393.4273,1.1998
0.99112,7772.5161,1.1998
1.00675,8051.4869,1.1998
1.02239,8195.7497,1.1998
1.03802,8231.1216,1.1998
1.05366,8210.44,1.1998
1.06929,8234.5516,1.1998
1.08493,8303.4289,1.1998
1.10056,8399.3447,1.1998
1.11619,8488.2488,1.1998
1.13183,8580.6252,1.1998
1.14746,8711.5473,1.1998
1.1631,8829.1772,1.1998
1.17873,8947.7385,1.1998
1.19436,9141.1145,1.1998
1.21,9420.0758,1.1998
1.22563,9867.7413,1.1998
1.24127,10868.696,1.1998
1.2569,11715.037,1.1998
1.27254,12583.399,1.1998
1.28817,12954.503,1.1998
1.3038,12103.253,1.1998
1.31944,11993.769,1.1998
1.33507,12167.245,1.1998
1.35071,12664.281,1.1998
1.36634,13365.786,1.1998
1.38197,12534.097,1.1998
1.39761,9948.9379,1.1998
1.41324,8215.0554,1.1998
1.42888,7211.6102,1.1998
1.44451,6573.2368,1.1998
1.46014,6122.6401,1.1998
1.47578,5769.0932,1.1998
1.49141,5489.2047,1.1998
1.50705,5240.8182,1.1998
1.52268,5039.2308,1.1998
1.53832,4862.4443,1.1998
1.55395,4676.7941,1.1998
1.56958,4536.6738,1.1998
1.58522,4391.1683,1.1998
1.60085,4252.4366,1.1998
1.61649,4146.8233,1.1998
0.58441,4610.9973,1.29983
0.59958,4704.6896,1.29983
0.61474,4801.2299,1.29983
0.6299,4834.2386,1.29983
0.64506,4866.4084,1.29983
0.66022,4892.379,1.29983
0.67538,4913.2226,1.29983
0.69055,4932.418,1.29983
0.70571,4946.1583,1.29983
0.72087,4962.8602,1.29983
0.73603,5003.2742,1.29983
0.75119,5050.6214,1.29983
0.76635,5130.9754,1.29983
0.78152,5215.1331,1.29983
0.79668,5303.1684,1.29983
0.81184,5396.394,1.29983
0.827,5470.6537,1.29983
0.84216,5540.368,1.29983
0.85732,5603.2948,1.29983
0.87249,5654.8951,1.29983
0.88765,5715.9703,1.29983
0.90281,5815.0261,1.29983
0.91797,5960.3453,1.29983
0.93313,6147.9348,1.29983
0.94829,6404.2563,1.29983
0.96346,6711.2542,1.29983
0.97862,7049.5624,1.29983
0.99378,7349.3284,1.29983
1.00894,7591.5841,1.29983
1.0241,7730.5208,1.29983
1.03927,7795.3429,1.29983
1.05443,7806.1549,1.29983
1.06959,7850.9259,1.29983
1.08475,7951.9784,1.29983
1.09991,8048.018,1.29983
1.11507,8154.3254,1.29983
1.13024,8278.9675,1.29983
1.1454,8396.7853,1.29983
1.16056,8509.2978,1.29983
1.17572,8681.5743,1.29983
1.19088,8817.6341,1.29983
1.20604,9007.8626,1.29983
1.22121,9243.8947,1.29983
1.23637,9522.0031,1.29983
1.25153,9874.4067,1.29983
1.26669,10591.354,1.29983
1.28185,12023.16,1.29983
1.29701,13005.027,1.29983
1.31218,14669.288,1.29983
1.32734,13627.382,1.29983
1.3425,13264.979,1.29983
1.35766,13436.636,1.29983
1.37282,14158.574,1.29983
1.38798,14540.818,1.29983
1.40315,12368.132,1.29983
1.41831,9746.5761,1.29983
1.43347,8227.5739,1.29983
1.44863,7327.9845,1.29983
1.46379,6730.0362,1.29983
1.47895,6307.5083,1.29983
1.49412,5962.1046,1.29983
1.50928,5668.0708,1.29983
1.52444,5445.0975,1.29983
1.5396,5240.2471,1.29983
1.55476,5049.0096,1.29983
1.56992,4897.9268,1.29983
0.56863,3997.0543,1.39998
0.58329,4060.9894,1.39998
0.59795,4132.8172,1.39998
0.6126,4203.643,1.39998
0.62726,4261.8342,1.39998
0.64192,4322.4037,1.39998
0.65657,4382.0101,1.39998
0.67123,4421.8171,1.39998
0.68588,4461.9329,1.39998
0.70054,4496.3431,1.39998
0.7152,4530.6385,1.39998
0.72985,4574.2441,1.39998
0.74451,4636.4325,1.39998
0.75917,4706.866,1.39998
0.77382,4799.378,1.39998
0.78848,4896.0908,1.39998
0.80314,4992.8654,1.39998
0.81779,5090.3596,1.39998
0.83245,5175.0808,1.39998
0.84711,5259.4123,1.39998
0.86176,5331.3596,1.39998
0.87642,5410.8273,1.39998
0.89108,5492.6393,1.39998
0.90573,5610.2854,1.39998
0.92039,5750.9221,1.39998
0.93505,5927.4419,1.39998
0.9497,6159.5002,1.39998
0.96436,6420.7358,1.39998
0.97902,6712.902,1.39998
0.99367,6973.0433,1.39998
1.00833,7177.8825,1.39998
1.02299,7341.7636,1.39998
1.03764,7420.657,1.39998
1.0523,7463.4207,1.39998
1.06696,7543.6833,1.39998
1.08161,7636.5249,1.39998
1.09627,7733.8892,1.39998
1.11093,7877.656,1.39998
1.12558,8000.2867,1.39998
1.14024,8099.1029,1.39998
1.1549,8275.3941,1.39998
1.16955,8425.8518,1.39998
1.18421,8547.886,1.39998
1.19887,8770.4483,1.39998
1.21352,8968.8493,1.39998
1.22818,9193.4768,1.39998
1.24284,9460.0443,1.39998
1.25749,9750.8439,1.39998
1.27215,10114.974,1.39998
1.28681,10701.863,1.39998
1.30146,11872.332,1.39998
1.31612,13816.247,1.39998
1.33078,15002.793,1.39998
1.34543,15829.766,1.39998
1.36009,14782.363,1.39998
1.37475,15103.506,1.39998
1.3894,16011.9,1.39998
1.40406,15598.246,1.39998
1.41872,12343.563,1.39998
1.43337,9822.7039,1.39998
1.44803,8451.7235,1.39998
1.46269,7603.8642,1.39998
1.47734,6963.8406,1.39998
1.492,6543.4034,1.39998
1.50666,6235.9148,1.39998
1.52131,5980.4399,1.39998
0.54759,3390.5493,1.49988
0.56151,3441.3707,1.49988
0.57544,3491.1887,1.49988
0.58936,3570.4157,1.49988
0.60329,3664.0603,1.49988
0.61722,3757.9264,1.49988
0.63114,3837.5239,1.49988
0.64507,3908.9473,1.49988
0.65899,3983.3205,1.49988
0.67292,4040.7848,1.49988
0.68685,4093.9864,1.49988
0.70077,4143.9186,1.49988
0.7147,4192.9431,1.49988
0.72862,4247.9469,1.49988
0.74255,4315.9914,1.49988
0.75648,4397.2799,1.49988
0.7704,4487.6003,1.49988
0.78433,4587.045,1.49988
0.79826,4688.4724,1.49988
0.81218,4785.0399,1.49988
0.82611,4884.225,1.49988
0.84003,4973.0491,1.49988
0.85396,5065.4863,1.49988
0.86789,5150.7876,1.49988
0.88181,5238.2896,1.49988
0.89574,5336.8573,1.49988
0.90966,5461.1699,1.49988
0.92359,5595.8626,1.49988
0.93752,5768.9219,1.49988
0.95144,5967.5683,1.49988
0.96537,6193.3807,1.49988
0.97929,6438.5176,1.49988
0.99322,6652.339,1.49988
1.00715,6836.2788,1.49988
1.02107,6981.8152,1.49988
1.035,7090.5908,1.49988
1.04892,7182.8935,1.49988
1.06285,7255.8496,1.49988
1.07678,7342.767,1.49988
1.0907,7477.0171,1.49988
1.10463,7603.3621,1.49988
1.11856,7732.6628,1.49988
1.13248,7875.5629,1.49988
1.14641,8019.359,1.49988
1.16033,8166.7305,1.49988
1.17426,8340.1166,1.49988
1.18819,8509.8364,1.49988
1.20211,8697.952,1.49988
1.21604,8908.1197,1.49988
1.22996,9137.8951,1.49988
1.24389,9416.9765,1.49988
1.25782,9712.9737,1.49988
1.27174,10014.625,1.49988
1.28567,10451.34,1.49988
1.29959,10941.822,1.49988
1.31352,11764.313,1.49988
1.32745,13495.145,1.49988
1.34137,15924.715,1.49988
1.3553,17933.438,1.49988
1.36923,17052.096,1.49988
1.38315,16999.125,1.49988
1.39708,17653.117,1.49988
1.411,17114.258,1.49988
1.42493,13660.877,1.49988
1.43886,10699.232,1.49988
1.45278,9081.6289,1.49988
0.57825,2938.2461,1.69992
0.59315,3033.6446,1.69992
0.60806,3131.3881,1.69992
0.62296,3231.9095,1.69992
0.63786,3339.1074,1.69992
0.65276,3431.6594,1.69992
0.66767,3527.6808,1.69992
0.68257,3627.348,1.69992
0.69747,3708.9381,1.69992
0.71238,3784.7802,1.69992
0.72728,3866.5563,1.69992
0.74218,3953.7198,1.69992
0.75708,4049.2031,1.69992
0.77199,4149.6703,1.69992
0.78689,4262.5772,1.69992
0.80179,4378.0142,1.69992
0.8167,4495.784,1.69992
0.8316,4611.9557,1.69992
0.8465,4732.2488,1.69992
0.86141,4850.1851,1.69992
0.87631,4969.7259,1.69992
0.89121,5092.4083,1.69992
0.90611,5224.4926,1.69992
0.92102,5362.5047,1.69992
0.93592,5513.3583,1.69992
0.95082,5673.0818,1.69992
0.96573,5851.2207,1.69992
0.98063,6034.6989,1.69992
0.99553,6217.209,1.69992
1.01043,6379.9843,1.69992
1.02534,6529.9032,1.69992
1.04024,6674.877,1.69992
