Temperature (K)	HCTotal (uJ/K)	HCSample (µJ/K)	Field (Oe)
1,9147994	16,640103	16,546301	3999,659
1,9359823	16,371134	16,27497	3999,659
1,9568444	15,877061	15,778524	3999,659
1,9774329	15,630397	15,529472	3999,659
1,9976342	15,476206	15,372891	3999,659
2,0173259	15,307103	15,201417	3999,659
2,0367835	15,00876	14,900689	3999,659
2,0555896	14,945124	14,834711	3999,659
2,0736347	14,845489	14,73279	3999,659
2,0914326	14,662193	14,547207	3999,659
2,1086756	14,576374	14,459139	3999,659
2,1253296	14,573855	14,454418	3999,659
2,1413376	14,257289	14,135707	3999,659
2,1571746	13,966738	13,843007	3999,659
2,1727135	13,751805	13,625941	3999,659
2,1872525	13,744414	13,616529	3999,659
2,2017645	13,427079	13,297156	3999,659
2,2158898	13,283597	13,151667	3999,659
2,229111	13,490943	13,357116	3999,659
2,2422506	13,038617	12,902887	3999,659
2,2545871	12,823813	12,68628	3999,659
2,2671178	12,725413	12,586032	3999,659
2,2787882	12,40029	12,259171	3999,659
2,2899516	12,200606	12,057813	3999,659
2,3011211	12,421364	12,276883	3999,659
2,3113986	12,131274	11,985228	3999,659
2,3215195	12,232288	12,08469	3999,659
2,3310692	11,894538	11,745466	3999,659
2,3401487	11,795918	11,645436	3999,659
2,3492154	11,473326	11,321427	3999,659
2,3577564	11,314344	11,161102	3999,659
2,3658617	11,253165	11,098642	3999,659
2,3736335	11,292498	11,13674	3999,659
2,3808669	11,338543	11,18163	3999,659
2,3883126	10,98169	10,823583	3999,659
2,3950231	10,549908	10,390719	3999,659
2,4015439	10,262721	10,102476	3999,659
2,4079847	9,9012905	9,7399995	3999,659
2,4143089	9,5018155	9,3394925	3999,659
2,4202971	9,7828049	9,619501	3999,659
2,4257615	9,3240964	9,1598942	3999,659
2,4311707	9,145505	8,9804105	3999,659
2,4363198	9,1636915	8,9977447	3999,659
2,4412692	8,7364247	8,5696562	3999,659
2,4458593	8,1945105	8,0269776	3999,659
2,4504702	7,9844637	7,8161609	3999,659
2,4543628	8,4603503	8,2913958	3999,659
2,458553	7,7539466	7,5842888	3999,659
2,4621852	8,1242602	7,9539913	3999,659
