#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
0.212        0.212        1            0.05         0.196991    
0.212        0.212        1            0.06         0.106378    
0.212        0.212        1            0.07         0.073379    
0.212        0.212        1            0.08         0.0441955   
0.212        0.212        1            0.09         0.0222578   
0.212        0.212        1            0.1          0.0128291   
0.212        0.212        1            0.11         0.0052295   
0.212        0.212        1            0.12         0.0010377   
0.212        0.212        1            0.13         0.00163918  
0.212        0.212        1            0.14         0.000599545 
0.212        0.212        1            0.15         8.13707e-05 
0.212        0.212        1            0.16         3.11378e-06 
0.212        0.212        1            0.17         8.90669e-06 
0.212        0.212        1            0.18         2.28642e-06 
0.212        0.212        1            0.19         1.67655e-08 
0.212        0.212        1            0.2          1.09951e-08 
0.212        0.212        1            0.21         5.58532e-11 
0.212        0.212        1            0.22         1.51248e-12 
0.212        0.212        1            0.23         5.80698e-14 
0.212        0.212        1            0.24         1.03643e-12 
0.212        0.212        1            0.25         1.79925e-16 
0.212        0.212        1            0.26         2.00985e-15 
0.212        0.212        1            0.27         1.20135e-16 
0.212        0.212        1            0.28         1.10476e-21 
0.212        0.212        1            0.29         2.02545e-21 
0.212        0.212        1            0.3          9.06494e-22 
0.212        0.212        1            0.31         6.85374e-23 
0.212        0.212        1            0.32         1.99135e-20 
0.212        0.212        1            0.33         1.21603e-22 
0.212        0.212        1            0.34         2.46528e-21 
0.212        0.212        1            0.35         1.31898e-18 
0.212        0.212        1            0.36         8.03891e-15 
0.212        0.212        1            0.37         2.33519e-16 
0.212        0.212        1            0.38         7.80152e-14 
0.212        0.212        1            0.39         1.09401e-13 
0.212        0.212        1            0.4          1.34413e-12 
0.212        0.212        1            0.41         1.14384e-11 
0.212        0.212        1            0.42         7.42471e-11 
0.212        0.212        1            0.43         2.27503e-10 
0.212        0.212        1            0.44         1.55828e-09 
0.212        0.212        1            0.45         9.58602e-09 
0.212        0.212        1            0.46         4.17471e-09 
0.212        0.212        1            0.47         1.01045e-07 
0.212        0.212        1            0.48         4.21206e-07 
0.212        0.212        1            0.49         1.468e-06   
0.212        0.212        1            0.5          3.20676e-06 
0.212        0.212        1            0.51         6.11915e-06 
0.212        0.212        1            0.52         1.32154e-05 
0.212        0.212        1            0.53         3.04577e-05 
0.212        0.212        1            0.54         4.97079e-05 
0.212        0.212        1            0.55         9.55639e-05 
0.212        0.212        1            0.56         0.000152909 
0.212        0.212        1            0.57         0.000245025 
0.212        0.212        1            0.58         0.000339004 
0.212        0.212        1            0.59         0.000448428 
0.212        0.212        1            0.6          0.000550508 
0.212        0.212        1            0.61         0.000601229 
0.212        0.212        1            0.62         0.000646645 
0.212        0.212        1            0.63         0.000637279 
0.212        0.212        1            0.64         0.00061534  
0.212        0.212        1            0.65         0.000511373 
0.212        0.212        1            0.66         0.000397826 
0.212        0.212        1            0.67         0.000328494 
0.212        0.212        1            0.68         0.000223489 
0.212        0.212        1            0.69         0.000148256 
0.212        0.212        1            0.7          8.7996e-05  
0.212        0.212        1            0.71         4.36176e-05 
0.212        0.212        1            0.72         2.72911e-05 
0.212        0.212        1            0.73         1.76433e-05 
0.212        0.212        1            0.74         6.65802e-06 
0.212        0.212        1            0.75         3.06778e-06 
0.212        0.212        1            0.76         1.00121e-06 
0.212        0.212        1            0.77         3.85784e-07 
0.212        0.212        1            0.78         2.59279e-07 
0.212        0.212        1            0.79         3.32399e-08 
0.212        0.212        1            0.8          3.70658e-08 
0.212        0.212        1            0.81         1.6004e-09  
0.212        0.212        1            0.82         4.23737e-10 
0.212        0.212        1            0.83         3.20596e-09 
0.212        0.212        1            0.84         7.51012e-10 
0.212        0.212        1            0.85         3.92978e-11 
0.212        0.212        1            0.86         4.85838e-14 
0.212        0.212        1            0.87         7.02951e-15 
0.212        0.212        1            0.88         5.83221e-13 
0.212        0.212        1            0.89         2.76676e-15 
0.212        0.212        1            0.9          1.78958e-18 
0.212        0.212        1            0.91         1.07506e-17 
0.212        0.212        1            0.92         6.04131e-18 
0.212        0.212        1            0.93         1.05329e-19 
0.212        0.212        1            0.94         6.26807e-22 
0.212        0.212        1            0.95         1.08382e-23 
0.212        0.212        1            0.96         9.83895e-22 
0.212        0.212        1            0.97         7.98371e-27 
0.212        0.212        1            0.98         1.53769e-27 
0.212        0.212        1            0.99         1.83891e-31 
0.215        0.215        1            0            0.516034    
0.215        0.215        1            0.01         0.49624     
0.215        0.215        1            0.02         0.45872     
0.215        0.215        1            0.03         0.374968    
0.215        0.215        1            0.04         0.276492    
0.215        0.215        1            0.05         0.174776    
0.215        0.215        1            0.06         0.114297    
0.215        0.215        1            0.07         0.0713192   
0.215        0.215        1            0.08         0.0387236   
0.215        0.215        1            0.09         0.0213605   
0.215        0.215        1            0.1          0.00756656  
0.215        0.215        1            0.11         0.0051508   
0.215        0.215        1            0.12         0.0010375   
0.215        0.215        1            0.13         0.000955207 
0.215        0.215        1            0.14         0.000105021 
0.215        0.215        1            0.15         1.85646e-05 
0.215        0.215        1            0.16         9.0609e-05  
0.215        0.215        1            0.17         3.36584e-07 
0.215        0.215        1            0.18         7.93262e-08 
0.215        0.215        1            0.19         8.89058e-10 
0.215        0.215        1            0.2          5.05174e-08 
0.215        0.215        1            0.21         2.7192e-11  
0.215        0.215        1            0.22         1.51184e-09 
0.215        0.215        1            0.23         1.04373e-12 
0.215        0.215        1            0.24         7.11452e-13 
0.215        0.215        1            0.25         4.90159e-16 
0.215        0.215        1            0.26         5.419e-20   
0.215        0.215        1            0.27         1.21035e-19 
0.215        0.215        1            0.28         1.82795e-21 
0.215        0.215        1            0.29         3.49235e-23 
0.215        0.215        1            0.3          3.37278e-24 
